id	url	verdict	reason
TOR_METRICS_USERSTATS_BRIDGE_COMBINED	https://metrics.torproject.org/userstats-bridge-combined.csv	TOO_BIG	75MB body exceeds probe cap; dimensions already covered by userstats-bridge-country and userstats-bridge-transport
DANME_TOR_EXIT_LIST	https://www.dan.me.uk/torlist/?exit	HTTP_ERR_403	blocks the engine User-Agent (needs UA_OVERRIDE, M1 owns core/) and enforces a 1-request-per-30-min limit that makes it a poor scheduled source; redundant with the check.torproject.org exit-addresses feed already in the tree
RANSOMWARE_LIVE_GROUPS	https://data.ransomware.live/groups.json	DUP_ENDPOINT	already registered in collectors/feed/generated/vsrc_threat_intel_1.c
RANSOMLOOK_RECENT	https://www.ransomlook.io/api/recent	DUP_ENDPOINT	already registered in collectors/sources/global_ransomlook.c
RANSOMLOOK_GROUPS	https://www.ransomlook.io/api/groups	DUP_ENDPOINT	already registered in collectors/feed/generated/vsrc_threat_intel_1.c
RANSOMFEED_LAST_VICTIMS	https://api.ransomfeed.it/?filter=lastVictims	DUP_DATASET	same victim dataset already ingested via www.ransomfeed.it/rss-complete.php in vsrc_threat_intel_1.c (by-name check, tool cannot see it)
RANSOMLOOK_MARKETS	https://www.ransomlook.io/api/markets	NOT_EXHAUSTIVE	engine emits 1 aggregate record from the 145-element bare-string array (records=1 stored=1); a JSON array of scalars is not iterated per-record, so 144 of 145 names would be discarded (rule 2 violation)
TOR_METRICS_RELAYFLAGS	https://metrics.torproject.org/relayflags.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_VERSIONS	https://metrics.torproject.org/versions.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_BANDWIDTH_FLAGS	https://metrics.torproject.org/bandwidth-flags.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_ADVBWDIST_PERC	https://metrics.torproject.org/advbwdist-perc.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_ADVBWDIST_RELAY	https://metrics.torproject.org/advbwdist-relay.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_USERSTATS_RELAY_COUNTRY	https://metrics.torproject.org/userstats-relay-country.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_USERSTATS_BRIDGE_COUNTRY	https://metrics.torproject.org/userstats-bridge-country.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_USERSTATS_BRIDGE_TRANSPORT	https://metrics.torproject.org/userstats-bridge-transport.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_USERSTATS_BRIDGE_VERSION	https://metrics.torproject.org/userstats-bridge-version.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_TOTALCW	https://metrics.torproject.org/totalcw.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_CONNBIDIRECT	https://metrics.torproject.org/connbidirect.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_TORPERF	https://metrics.torproject.org/torperf.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_TORPERF_FAILURES	https://metrics.torproject.org/torperf-failures.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_ONIONPERF_LATENCIES	https://metrics.torproject.org/onionperf-latencies.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
TOR_METRICS_ONIONPERF_THROUGHPUT	https://metrics.torproject.org/onionperf-throughput.csv	UID_COLLISION	long-format CSV (date + a dimension per row); the rule-4b collision guard is not wired into hpengine.c's CSV emit path so key-sharing rows collapse (stored<<emitted); unshippable until the engine bug is fixed (lib/ owned by M)
